,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 07 Campinas,"segunda-feira, 19/07",37%,AMERICANA,3501608
1,DRS 07 Campinas,"segunda-feira, 19/07",39%,AMPARO,3501905
2,DRS 07 Campinas,"segunda-feira, 19/07",46%,ARTUR NOGUEIRA,3503802
3,DRS 07 Campinas,"segunda-feira, 19/07",39%,ATIBAIA,3504107
4,DRS 07 Campinas,"segunda-feira, 19/07",37%,BRAGANÇA PAULISTA,3507605
5,DRS 07 Campinas,"segunda-feira, 19/07",36%,CAMPINAS,3509502
6,DRS 07 Campinas,"segunda-feira, 19/07",44%,CAMPO LIMPO PAULISTA,3509601
7,DRS 07 Campinas,"segunda-feira, 19/07",36%,COSMÓPOLIS,3512803
8,DRS 07 Campinas,"segunda-feira, 19/07",37%,HORTOLÂNDIA,3519071
9,DRS 07 Campinas,"segunda-feira, 19/07",41%,INDAIATUBA,3520509
10,DRS 07 Campinas,"segunda-feira, 19/07",37%,ITATIBA,3523404
11,DRS 07 Campinas,"segunda-feira, 19/07",37%,ITUPEVA,3524006
12,DRS 07 Campinas,"segunda-feira, 19/07",41%,JAGUARIÚNA,3524709
13,DRS 07 Campinas,"segunda-feira, 19/07",34%,JUNDIAÍ,3525904
14,DRS 07 Campinas,"segunda-feira, 19/07",52%,MONTE MOR,3531803
15,DRS 07 Campinas,"segunda-feira, 19/07",39%,NOVA ODESSA,3533403
16,DRS 07 Campinas,"segunda-feira, 19/07",36%,PAULÍNIA,3536505
17,DRS 07 Campinas,"segunda-feira, 19/07",36%,SANTA BÁRBARA D'OESTE,3545803
18,DRS 07 Campinas,"segunda-feira, 19/07",35%,SUMARÉ,3552403
19,DRS 07 Campinas,"segunda-feira, 19/07",36%,VALINHOS,3556206
20,DRS 07 Campinas,"segunda-feira, 19/07",38%,VÁRZEA PAULISTA,3556503
21,DRS 07 Campinas,"segunda-feira, 19/07",38%,VINHEDO,3556701
22,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,ÁGUAS DE LINDÓIA,3500501
23,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,AMERICANA,3501608
24,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,AMPARO,3501905
25,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,ARTUR NOGUEIRA,3503802
26,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,ATIBAIA,3504107
27,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,BOM JESUS DOS PERDÕES,3507100
28,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,BRAGANÇA PAULISTA,3507605
29,DRS 07 Campinas,"segunda-feira, 19/07",38.68181818181818,CABREÚVA,3508405
